labels,category
605,Intra-CBLM-PaT
606,SO
607,Intra-CBLM-PaT
608,FalsePositive
609,MdLF
610,Unclassified
611,Intra-CBLM-I-P
612,Intra-CBLM-PaT
613,Intra-CBLM-I-P
614,FalsePositive
615,Intra-CBLM-I-P
616,Intra-CBLM-I-P
617,FalsePositive
618,CC2
619,CC2
620,FalsePositive
621,FalsePositive
622,SF
623,SF
624,CC2
625,FalsePositive
626,SF
627,SF
628,CC2
629,FalsePositive
630,CC2
631,TF
632,FalsePositive
633,FalsePositive
634,CC2
635,FalsePositive
636,FalsePositive
637,TF
638,Partial
639,Unclassified
640,Partial
641,TP
642,TF
643,FalsePositive
644,FalsePositive
645,SF
646,FalsePositive
647,CC1
648,FalsePositive
649,SF
650,FalsePositive
651,CC2
652,TF
653,SF
654,CC2
655,TF
656,SF
657,FalsePositive
658,CC2
659,CB
660,Partial
661,SF
662,CC1
663,TF
664,FalsePositive
665,TF
666,FalsePositive
667,FalsePositive
668,Partial
669,CC2
670,Unclassified
671,FalsePositive
672,FalsePositive
673,UF
674,CC1
675,FalsePositive
676,Unclassified
677,CC6
678,FalsePositive
679,FalsePositive
680,CC2
681,FalsePositive
682,SF
683,FalsePositive
684,FalsePositive
685,Unclassified
686,CC2
687,FalsePositive
688,Partial
689,CST
690,CR-F
691,Partial
692,Unclassified
693,CPC
694,Partial
695,Partial
696,IOFF
697,CB
698,IOFF
699,FalsePositive
700,ILF
701,ILF
702,TF
703,TF
704,UF
705,MdLF
706,Partial
707,FalsePositive
708,Unclassified
709,Partial
710,CST
711,UF
712,Unclassified
713,Partial
714,ILF
715,UF
716,FalsePositive
717,Unclassified
718,CR-F
719,Partial
720,EC
721,Unclassified
722,CST
723,Partial
724,CST
725,Partial
726,IOFF
727,MdLF
728,IOFF
729,FalsePositive
730,ILF
731,CR-F
732,EC
733,Partial
734,ILF
735,IOFF
736,AF
737,EmC
738,CST
739,UF
740,Unclassified
741,Partial
742,TF
743,MdLF
744,Partial
745,Partial
746,Partial
747,Unclassified
748,Unclassified
749,Unclassified
750,CST
751,Unclassified
752,CR-F
753,IOFF
754,FalsePositive
755,Partial
756,IOFF
757,CR-F
758,Partial
759,Unclassified
760,Unclassified
761,Partial
762,CR-F
763,MdLF
764,UF
765,Partial
766,CR-F
767,TF
768,FalsePositive
769,Partial
770,FalsePositive
771,IOFF
772,CB
773,CPC
774,Partial
775,CST
776,FalsePositive
777,Partial
778,EmC
779,EmC
780,Partial
781,EC
782,MdLF
783,FalsePositive
784,Unclassified
785,Unclassified
786,EC
787,Partial
788,FalsePositive
789,Partial
790,Unclassified
791,MdLF
792,UF
793,CST
794,Unclassified
795,Unclassified
796,Partial
797,FalsePositive
798,Partial
799,Partial
